lon,lat
121.0009569,14.6785637
121.0008270,14.6785968
121.0007673,14.6786383
121.0007384,14.6786837
121.0007411,14.6790444
121.0007572,14.6790924
121.0008008,14.6791527
121.0008766,14.6791748
121.0009658,14.6791728
121.0010469,14.6791624
121.0010958,14.6791397
121.0011441,14.6790969
121.0011790,14.6790314
121.0011850,14.6787642
121.0011763,14.6786934
121.0011321,14.6786169
121.0011084,14.6785602
121.0010563,14.6785807
121.0010005,14.6785832
121.0009569,14.6785637
121.0009295,14.6785358
121.0009137,14.6785003
121.0009115,14.6784543
121.0009278,14.6784009
121.0009628,14.6783492
121.0010231,14.6782856
121.0010110,14.6782080
121.0009928,14.6780221
121.0009677,14.6778227
121.0009380,14.6776172
121.0007063,14.6775444
121.0007185,14.6782112
121.0007063,14.6782588
121.0006727,14.6783250
121.0006037,14.6784119
121.0006084,14.6785865
121.0006536,14.6797862
121.0006610,14.6799701
121.0007535,14.6822535
121.0007917,14.6829741
121.0008188,14.6841845
121.0008394,14.6851267
121.0008942,14.6882605
121.0009193,14.6890365
121.0009263,14.6893858
121.0009316,14.6896686
121.0009329,14.6899631
121.0009287,14.6901690
121.0008868,14.6907923
121.0008527,14.6911567
121.0007977,14.6916876
121.0007309,14.6921804
121.0006643,14.6925759
121.0004906,14.6933421
121.0003064,14.6940936
121.0001894,14.6944772
120.9999311,14.6951612
120.9997892,14.6954919
120.9994908,14.6961928
120.9990979,14.6969590
120.9989456,14.6972417
120.9983566,14.6983459
120.9977835,14.6994039
120.9970598,14.7007626
120.9967753,14.7012860
120.9938272,14.7067347
120.9933418,14.7075745
120.9925157,14.7091416
120.9921654,14.7097816
120.9920365,14.7100152
120.9911529,14.7116556
120.9903998,14.7130532
120.9901971,14.7134427
120.9899405,14.7139469
120.9874326,14.7186628
120.9860104,14.7211950
120.9853248,14.7225869
120.9848820,14.7233722
120.9818200,14.7290376
120.9810661,14.7304325
120.9774730,14.7371270
120.9763598,14.7391188
120.9761035,14.7395802
120.9749724,14.7416440
120.9740625,14.7433611
120.9735454,14.7443197
120.9731483,14.7450732
120.9726258,14.7460517
120.9725454,14.7461941
120.9723670,14.7465101
120.9714961,14.7480967
120.9700351,14.7508303
120.9696236,14.7515805
120.9688379,14.7530181
120.9680638,14.7544666
120.9676199,14.7552746
120.9656573,14.7589315
120.9646547,14.7607888
120.9643355,14.7613815
120.9639000,14.7621840
120.9636354,14.7626468
120.9630350,14.7637646
120.9624882,14.7648312
120.9615736,14.7664678
120.9615323,14.7665475
120.9610888,14.7673684
120.9603820,14.7686764
120.9601105,14.7691822
120.9597668,14.7698173
120.9591590,14.7709396
120.9587941,14.7716117
120.9567511,14.7754834
120.9562857,14.7763488
120.9558805,14.7771512
120.9550745,14.7787024
120.9508525,14.7864451
120.9498008,14.7884088
120.9485299,14.7907470
120.9480972,14.7915347
120.9473264,14.7929493
120.9471711,14.7932431
120.9470239,14.7935061
120.9467603,14.7939914
120.9464879,14.7944933
120.9458496,14.7956550
120.9442063,14.7987381
120.9439673,14.7991919
120.9438614,14.7995175
120.9437904,14.7998389
120.9436946,14.8004228
120.9436516,14.8009922
120.9436219,14.8013596
120.9435286,14.8019778
120.9433452,14.8025141
120.9430828,14.8030242
120.9428952,14.8033188
120.9426818,14.8035954
120.9422059,14.8040783
120.9418236,14.8043895
120.9414065,14.8047004
120.9410730,14.8049922
120.9407604,14.8052909
120.9404734,14.8055911
120.9402743,14.8059125
120.9385943,14.8090165
120.9378256,14.8104516
120.9373065,14.8114470
120.9370961,14.8118181
120.9362812,14.8132622
120.9359938,14.8137619
120.9354395,14.8146543
120.9348443,14.8154294
120.9341697,14.8161507
120.9335148,14.8167325
120.9328159,14.8172535
120.9321334,14.8176980
120.9314265,14.8180839
120.9313278,14.8181365
120.9206325,14.8238391
120.9198990,14.8242302
120.9190047,14.8247032
120.9178511,14.8253133
120.9170950,14.8257080
120.9169969,14.8257609
120.9125894,14.8281403
120.9110220,14.8289956
120.9091274,14.8300294
120.9089299,14.8301355
120.9074291,14.8309139
120.9056388,14.8318771
120.9051876,14.8321187
120.9038627,14.8327770
120.9016166,14.8340118
120.8994358,14.8351880
120.8975029,14.8362456
120.8966174,14.8367725
120.8964005,14.8368951
120.8960934,14.8370779
120.8953499,14.8375084
120.8938106,14.8384642
120.8919298,14.8396710
120.8900791,14.8408962
120.8887250,14.8418371
120.8873594,14.8428071
120.8852084,14.8443998
120.8829665,14.8461672
120.8810634,14.8477346
120.8790462,14.8493576
120.8787422,14.8495981
120.8778691,14.8502709
120.8765888,14.8512491
120.8752916,14.8521693
120.8744350,14.8527750
120.8738007,14.8532301
120.8730622,14.8537300
120.8728707,14.8538597
120.8722222,14.8542987
120.8684362,14.8565889
120.8631524,14.8597277
120.8624916,14.8601203
120.8612185,14.8608765
120.8610451,14.8609819
120.8601462,14.8615436
120.8587776,14.8624123
120.8582772,14.8627421
120.8573998,14.8633204
120.8560797,14.8642318
120.8557999,14.8644296
120.8548770,14.8650821
120.8531318,14.8664005
120.8520903,14.8672428
120.8502903,14.8687037
120.8487675,14.8699979
120.8473070,14.8713246
120.8458980,14.8726672
120.8438106,14.8747570
120.8418009,14.8769214
120.8407623,14.8781148
120.8397171,14.8793479
120.8382724,14.8811667
120.8368941,14.8830019
120.8366850,14.8832942
120.8357007,14.8846631
120.8345732,14.8863207
120.8323922,14.8897243
120.8312891,14.8913596
120.8309761,14.8918296
120.8297857,14.8935005
120.8285221,14.8951307
120.8271783,14.8968137
120.8222280,14.9025249
120.8220170,14.9027751
120.8207362,14.9042376
120.8202166,14.9048371
120.8197700,14.9053492
120.8189990,14.9062332
120.8186307,14.9066297
120.8173727,14.9080643
120.8169634,14.9085317
120.8153387,14.9104006
120.8143605,14.9115087
120.8138968,14.9120489
120.8131374,14.9129144
120.8081941,14.9185484
120.8076484,14.9191809
120.8075131,14.9193378
120.8033305,14.9240950
120.8013390,14.9263668
120.8008171,14.9269351
120.7952374,14.9333396
120.7947525,14.9338887
120.7932400,14.9356221
120.7920115,14.9370229
120.7891598,14.9402849
120.7886804,14.9408294
120.7830589,14.9472400
120.7825733,14.9478068
120.7758240,14.9555162
120.7741795,14.9573697
120.7689302,14.9633466
120.7672674,14.9652406
120.7656863,14.9670957
120.7640728,14.9690530
120.7639933,14.9691486
120.7630826,14.9702527
120.7629459,14.9704248
120.7620688,14.9715597
120.7614210,14.9724174
120.7609946,14.9729887
120.7606244,14.9734759
120.7602127,14.9740317
120.7599552,14.9743879
120.7592498,14.9753648
120.7585598,14.9763449
120.7575422,14.9778711
120.7570493,14.9785916
120.7550575,14.9816211
120.7532898,14.9844941
120.7530630,14.9848959
120.7522857,14.9861609
120.7503645,14.9895996
120.7484551,14.9930401
120.7477276,14.9942584
120.7467221,14.9959452
120.7453083,14.9982100
120.7435298,15.0009222
120.7418415,15.0033529
120.7412441,15.0042145
120.7400875,15.0058031
120.7370542,15.0097577
120.7362989,15.0107277
120.7352180,15.0120273
120.7337535,15.0137479
120.7331489,15.0144582
120.7315783,15.0162000
120.7301009,15.0178341
120.7293161,15.0186804
120.7290094,15.0190112
120.7284982,15.0195335
120.7281370,15.0199349
120.7274213,15.0206578
